NASDAQ
Kellogg
Keurig Dr Pepper
KeyCorp
Keysight Technologies
Kimberly-Clark
Kimco Realty
Kinder Morgan
KLA Corp
Kraft Heinz
Kroger
L3Harris Technologies
Laboratory America
Lam Research
Lamb Weston Holdings
Las Vegas Sands
Leidos
Lennar
Lincoln National
Linde PLC
Live Nation Entertainment
LKQ
Lockheed Martin
Loews
Lowe’s
LyondellBasell Industries
M&T Bank
Marathon Oil
Marathon Petroleum
MarketAxesss
Marriott Int
Marsh McLennan
Martin Marietta Materials
Masco
Mastercard
Match Group
McCormick&Co
McDonald’s
McKesson
Medtronic
Merck&Co
Meta Platforms
MetLife
Mettler-Toledo
MGM
Microchip
Micron
Microsoft
Mid-America Apartment
Moderna
Mohawk Industries
Molina Healthcare
Molson Coors Brewing B
Mondelez
Monolithic
Monster Beverage
Moody’s
Morgan Stanley
Mosaic
Motorola
MSCI
Nasdaq Inc
NetApp
Netflix
Newell Brands
Newmont Goldcorp
News Corp
News Corp A
NextEra Energy
Nike
NiSource
Nordson
Norfolk Southern
Northern Trust
Northrop Grumman
Norwegian Cruise Line
NRG
Nucor
NVIDIA
NVR
NXP
Occidental
Old Dominion Freight Line
Omnicom
ON Semiconductor
ONEOK
Oracle
Organon Co
Otis Worldwide
O’Reilly Automotive
PACCAR
Packaging America
Paramount Global B
Parker-Hannifin
Paychex
Paycom Soft
PayPal Holdings Inc
Pentair
PepsiCo
Pfizer
PG E
Philip Morris
Phillips 66
Pinnacle West
Pioneer Natural
PNC Financial
Pool
PPG Industries
PPL
Principal Financial
Procter&Gamble
Progressive
Prologis
Prudential Financial
PTC
Public Service Enterprise
Public Storage
PulteGroup
Qorvo Inc
Qualcomm
Quanta Services
Quest Diagnostics
Ralph Lauren A
Raymond James Financial
Realty Income
Regency Centers
Regeneron Pharma
Regions Financial
Republic Services
ResMed
Revvity
Robert Half
Rockwell Automation
Rollins
Roper Technologies
Ross Stores
Royal Caribbean Cruises
Rtx Corp
S&P Global
Salesforce Inc
SBA Communications
Schlumberger
Seagate
Sealed Air
Sempra Energy
ServiceNow Inc
Sherwin-Williams
Simon Property
Skyworks
Snap-On
SolarEdge Technologies Inc
Southern
Southwest Airlines
Stanley Black Decker
Starbucks
State Street
Steel Dynamics
STERIS
Stryker
Synchrony Financial
Synopsys
Sysco
T Rowe
T-Mobile US
Take-Two
Tapestry
Targa Resources
Target
TE Connectivity
Teledyne Technologies
Teleflex
Teradyne
Tesla
Texas Instruments
Textron
The AES
The Charles Schwab
The Travelers
Thermo Fisher Scientific
TJX
Tractor Supply
Trane Technologies
Transdigm
Trimble
Truist Financial Corp
Tyler Technologies
Tyson Foods
U.S. Bancorp
UDR
Ulta Beauty
Union Pacific
United Airlines Holdings
United Parcel Service
United Rentals
UnitedHealth
Universal Health Services
Valero Energy
Ventas
VeriSign
Verisk
Verizon
Vertex
VF
Viatris
VICI Properties
Visa A
Vulcan Materials
Walgreens Boots
Walmart
Walt Disney
Warner Bros Discovery
Waste Management
Waters
WEC Energy
Wells Fargo&Co
Welltower
West Pharmaceutical Services
Western Digital
Westinghouse Air Brake
WestRock Co
Weyerhaeuser
Whirlpool
Williams
Willis Towers Watson
WR Berkley
WW Grainger
Wynn Resorts
Xcel Energy
Xylem
Yum! Brands
Zebra
Zimmer Biomet
Zions
Zoetis Inc
